,Unnamed: 0,Unnamed: 0.1,category,type,difficulty,question,correct_answer,incorrect_answers
500,500,0,Science: Computers,boolean,easy,Time on Computers is measured via the EPOX System.,False,True
501,501,0,History,boolean,medium,Martin Luther King Jr. and Anne Frank were born the same year. ,True,False
502,502,0,History,boolean,easy,Thomas Crapper was a plumber who invented the flushing toilet.,False,True
503,503,0,Science: Mathematics,boolean,easy,An isosceles triangle has two sides of equal length as opposed to three.,True,False
504,504,0,General Knowledge,boolean,easy,Nutella is produced by the German company Ferrero.,False,True
505,505,0,History,boolean,easy,"The United States of America declared their independence from the British Empire on July 4th, 1776.",True,False
507,507,0,General Knowledge,boolean,easy,Dihydrogen Monoxide was banned due to health risks after being discovered in 1983 inside swimming pools and drinking water.,False,True
509,509,0,General Knowledge,boolean,easy,A pasodoble is a type of Italian pasta sauce.,False,True
510,510,0,Geography,boolean,medium,The flag of South Africa features 7 colours.,False,True
511,511,0,Entertainment: Video Games,boolean,hard,"TF2: Sentry rocket damage falloff is calculated based on the distance between the sentry and the enemy, not the engineer and the enemy",False,True
512,512,0,Science: Gadgets,boolean,medium,The Western Electric Model 500 telephone uses tone dialing to dial phone numbers.,False,True
517,517,0,Entertainment: Video Games,boolean,medium,Amazon acquired Twitch in August 2014 for $970 million dollars.,True,False
518,518,0,Geography,boolean,easy,St. Louis is the capital of the US State Missouri.,False,True
520,520,0,History,boolean,easy,The Tiananmen Square protests of 1989 were held in Hong Kong.,False,True
521,521,0,Entertainment: Video Games,boolean,medium,The ADAM collecters in the Bioshock series are known as Little Sisters.,True,False
525,525,0,Entertainment: Japanese Anime & Manga,boolean,easy,Gosho Aoyama Made This Series: (Detective Conan / Case Closed!),True,False
526,526,0,General Knowledge,boolean,medium,The vapor produced by e-cigarettes is actually water.,False,True
527,527,0,Entertainment: Music,boolean,easy,American rapper Dr. Dre actually has a Ph.D. doctorate.,False,True
528,528,0,History,boolean,easy,The United States was a member of the League of Nations.,False,True
529,529,0,Mythology,boolean,easy,"According to Greek Mythology, Atlas was an Olympian God.",False,True
531,531,0,Science: Mathematics,boolean,medium,The set of all algebraic numbers is countable.,True,False
532,532,0,General Knowledge,boolean,medium,The British organisation CAMRA stands for The Campaign for Real Ale.,True,False
533,533,0,History,boolean,hard,Japan was part of the Allied Powers during World War I.,True,False
535,535,0,Geography,boolean,easy,Alaska is the largest state in the United States.,True,False
537,537,0,Mythology,boolean,medium,"According to Norse mythology, Loki is a mother.",True,False
542,542,0,Animals,boolean,easy,Cats have whiskers under their legs.,True,False
547,547,0,Sports,boolean,medium,Wilt Chamberlain scored his infamous 100-point-game against the New York Knicks in 1962.,True,False
548,548,0,History,boolean,easy,Former United States Presidents John Adams and Thomas Jefferson died within hours of each other.,True,False
551,551,0,History,boolean,easy,Kublai Khan is the grandchild of Genghis Khan?,True,False
